trip_year,trip_month,trips_made,from_station_name,usertype,rn
2013,6,191,Millennium Park,Customer,1
2013,6,172,Lake Shore Dr & Monroe St,Customer,2
2013,6,170,Michigan Ave & Oak St,Customer,3
2013,6,156,McClurg Ct & Illinois St,Customer,4
2013,6,103,Michigan Ave & Pearson St,Customer,5
2013,6,88,Michigan Ave & Lake St,Customer,6
2013,6,88,Wabash Ave & Roosevelt Rd,Customer,6
2013,6,87,Cannon Dr & Fullerton Ave,Customer,7
2013,6,74,McCormick Place,Customer,8
2013,6,62,Fairbanks Ct & Grand Ave,Customer,9
2013,6,57,Dearborn St & Adams St,Customer,10
2013,7,3376,Millennium Park,Customer,1
2013,7,3065,Lake Shore Dr & Monroe St,Customer,2
2013,7,2479,Michigan Ave & Oak St,Customer,3
2013,7,2433,McClurg Ct & Illinois St,Customer,4
2013,7,2409,Museum Campus,Customer,5
2013,7,1857,Michigan Ave & Pearson St,Customer,6
2013,7,1590,Cannon Dr & Fullerton Ave,Customer,7
2013,7,1531,Michigan Ave & Lake St,Customer,8
2013,7,1158,Wabash Ave & Roosevelt Rd,Customer,9
2013,7,1143,Fairbanks Ct & Grand Ave,Customer,10
2013,8,5678,Streeter Dr & Illinois St,Customer,1
2013,8,4452,Lake Shore Dr & Monroe St,Customer,2
2013,8,4192,Millennium Park,Customer,3
2013,8,3496,Museum Campus,Customer,4
2013,8,3435,Michigan Ave & Oak St,Customer,5
2013,8,2508,Clark St & North Ave,Customer,6
2013,8,2234,McClurg Ct & Illinois St,Customer,7
2013,8,2180,Theater on the Lake,Customer,8
2013,8,1919,Lake Shore Dr & Ohio St,Customer,9
2013,8,1889,Michigan Ave & Lake St,Customer,10
2013,9,5362,Streeter Dr & Illinois St,Customer,1
2013,9,3523,Millennium Park,Customer,2
2013,9,3226,Lake Shore Dr & Monroe St,Customer,3
2013,9,3051,Theater on the Lake,Customer,4
2013,9,2799,Museum Campus,Customer,5
2013,9,2568,Michigan Ave & Oak St,Customer,6
2013,9,1600,McClurg Ct & Illinois St,Customer,7
2013,9,1502,Clark St & North Ave,Customer,8
2013,9,1393,Michigan Ave & Pearson St,Customer,9
2013,9,1337,Michigan Ave & Washington St,Customer,10
2013,10,3254,Streeter Dr & Illinois St,Customer,1
2013,10,2096,Lake Shore Dr & Monroe St,Customer,2
2013,10,1990,Millennium Park,Customer,3
2013,10,1619,Museum Campus,Customer,4
2013,10,1470,Theater on the Lake,Customer,5
2013,10,1288,Michigan Ave & Oak St,Customer,6
2013,10,886,Lake Shore Dr & North Blvd,Customer,7
2013,10,830,Michigan Ave & Pearson St,Customer,8
2013,10,816,McClurg Ct & Illinois St,Customer,9
2013,10,775,Michigan Ave & Jackson Blvd,Customer,10
2013,11,815,Streeter Dr & Illinois St,Customer,1
2013,11,639,Lake Shore Dr & Monroe St,Customer,2
2013,11,605,Millennium Park,Customer,3
2013,11,504,Museum Campus,Customer,4
2013,11,326,Michigan Ave & Oak St,Customer,5
2013,11,313,Theater on the Lake,Customer,6
