trips_year,trips_month,DayOfWeekStartTimeNumber,DayOfWeekStartTimeAt,WeekNumber,usertype,trips_average
2013,6,4,Thursday,26,Customer,1644
2013,6,4,Thursday,26,Subscriber,5347
2013,6,5,Friday,26,Customer,2545
2013,6,5,Friday,26,Subscriber,1250
2013,6,6,Saturday,26,Customer,1965
2013,6,6,Saturday,26,Subscriber,1430
2013,6,7,Sunday,27,Customer,2417
2013,6,7,Sunday,27,Subscriber,887
2013,7,1,Monday,27,Customer,2109
2013,7,1,Monday,27,Subscriber,1053
2013,7,1,Monday,28,Customer,2124
2013,7,1,Monday,28,Subscriber,845
2013,7,1,Monday,29,Customer,1759
2013,7,1,Monday,29,Subscriber,867
2013,7,1,Monday,30,Customer,2165
2013,7,1,Monday,30,Subscriber,820
2013,7,1,Monday,31,Customer,1872
2013,7,1,Monday,31,Subscriber,856
2013,7,2,Tuesday,27,Customer,2071
2013,7,2,Tuesday,27,Subscriber,1229
2013,7,2,Tuesday,28,Customer,1962
2013,7,2,Tuesday,28,Subscriber,840
2013,7,2,Tuesday,29,Customer,2051
2013,7,2,Tuesday,29,Subscriber,849
2013,7,2,Tuesday,30,Customer,1798
2013,7,2,Tuesday,30,Subscriber,745
2013,7,2,Tuesday,31,Customer,1703
2013,7,2,Tuesday,31,Subscriber,781
2013,7,3,Wednesday,27,Customer,2292
2013,7,3,Wednesday,27,Subscriber,957
2013,7,3,Wednesday,28,Customer,2162
2013,7,3,Wednesday,28,Subscriber,845
2013,7,3,Wednesday,29,Customer,2392
2013,7,3,Wednesday,29,Subscriber,712
2013,7,3,Wednesday,30,Customer,1826
2013,7,3,Wednesday,30,Subscriber,760
2013,7,3,Wednesday,31,Customer,1786
2013,7,3,Wednesday,31,Subscriber,807
2013,7,4,Thursday,27,Customer,2596
2013,7,4,Thursday,27,Subscriber,1008
2013,7,4,Thursday,28,Customer,1934
2013,7,4,Thursday,28,Subscriber,773
2013,7,4,Thursday,29,Customer,1976
2013,7,4,Thursday,29,Subscriber,694
2013,7,4,Thursday,30,Customer,1823
2013,7,4,Thursday,30,Subscriber,845
2013,7,5,Friday,27,Customer,2491
2013,7,5,Friday,27,Subscriber,844
2013,7,5,Friday,28,Customer,2191
2013,7,5,Friday,28,Subscriber,834
2013,7,5,Friday,29,Customer,2245
2013,7,5,Friday,29,Subscriber,782
2013,7,5,Friday,30,Customer,1828
2013,7,5,Friday,30,Subscriber,704
2013,7,6,Saturday,27,Customer,2638
2013,7,6,Saturday,27,Subscriber,1137
2013,7,6,Saturday,28,Customer,2621
2013,7,6,Saturday,28,Subscriber,1015
2013,7,6,Saturday,29,Customer,2481
2013,7,6,Saturday,29,Subscriber,1043
2013,7,6,Saturday,30,Customer,1911
2013,7,6,Saturday,30,Subscriber,937
2013,7,7,Sunday,28,Customer,2413
2013,7,7,Sunday,28,Subscriber,974
2013,7,7,Sunday,29,Customer,2327
2013,7,7,Sunday,29,Subscriber,1001
2013,7,7,Sunday,30,Customer,2257
2013,7,7,Sunday,30,Subscriber,966
2013,7,7,Sunday,31,Customer,2219
2013,7,7,Sunday,31,Subscriber,960
2013,8,1,Monday,32,Customer,1521
2013,8,1,Monday,32,Subscriber,810
2013,8,1,Monday,33,Customer,1968
2013,8,1,Monday,33,Subscriber,717
2013,8,1,Monday,34,Customer,1858
2013,8,1,Monday,34,Subscriber,778
2013,8,1,Monday,35,Customer,1810
2013,8,1,Monday,35,Subscriber,727
2013,8,2,Tuesday,32,Customer,1761
2013,8,2,Tuesday,32,Subscriber,708
2013,8,2,Tuesday,33,Customer,1762
2013,8,2,Tuesday,33,Subscriber,732
2013,8,2,Tuesday,34,Customer,1647
2013,8,2,Tuesday,34,Subscriber,782
2013,8,2,Tuesday,35,Customer,1746
2013,8,2,Tuesday,35,Subscriber,692
2013,8,3,Wednesday,32,Customer,1778
2013,8,3,Wednesday,32,Subscriber,758
2013,8,3,Wednesday,33,Customer,1620
2013,8,3,Wednesday,33,Subscriber,725
2013,8,3,Wednesday,34,Customer,1706
2013,8,3,Wednesday,34,Subscriber,750
2013,8,3,Wednesday,35,Customer,1630
2013,8,3,Wednesday,35,Subscriber,707
2013,8,4,Thursday,31,Customer,1876
2013,8,4,Thursday,31,Subscriber,775
2013,8,4,Thursday,32,Customer,1926
2013,8,4,Thursday,32,Subscriber,842
2013,8,4,Thursday,33,Customer,1826
2013,8,4,Thursday,33,Subscriber,756
2013,8,4,Thursday,34,Customer,1570
2013,8,4,Thursday,34,Subscriber,877
2013,8,4,Thursday,35,Customer,1692
2013,8,4,Thursday,35,Subscriber,715
2013,8,5,Friday,31,Customer,2004
2013,8,5,Friday,31,Subscriber,757
2013,8,5,Friday,32,Customer,1956
2013,8,5,Friday,32,Subscriber,778
2013,8,5,Friday,33,Customer,1979
2013,8,5,Friday,33,Subscriber,783
2013,8,5,Friday,34,Customer,1926
2013,8,5,Friday,34,Subscriber,792
2013,8,5,Friday,35,Customer,1653
2013,8,5,Friday,35,Subscriber,722
2013,8,6,Saturday,31,Customer,2279
2013,8,6,Saturday,31,Subscriber,1051
2013,8,6,Saturday,32,Customer,2030
2013,8,6,Saturday,32,Subscriber,938
2013,8,6,Saturday,33,Customer,2024
2013,8,6,Saturday,33,Subscriber,893
2013,8,6,Saturday,34,Customer,1843
2013,8,6,Saturday,34,Subscriber,881
2013,8,6,Saturday,35,Customer,1751
2013,8,6,Saturday,35,Subscriber,797
2013,8,7,Sunday,32,Customer,2091
2013,8,7,Sunday,32,Subscriber,908
2013,8,7,Sunday,33,Customer,2090
2013,8,7,Sunday,33,Subscriber,962
2013,8,7,Sunday,34,Customer,1960
2013,8,7,Sunday,34,Subscriber,941
2013,8,7,Sunday,35,Customer,1924
2013,8,7,Sunday,35,Subscriber,877
2013,9,1,Monday,36,Customer,1867
2013,9,1,Monday,36,Subscriber,891
2013,9,1,Monday,37,Customer,1840
2013,9,1,Monday,37,Subscriber,730
2013,9,1,Monday,38,Customer,1551
2013,9,1,Monday,38,Subscriber,735
2013,9,1,Monday,39,Customer,1562
