trip_year,trip_month,usertype,trip_count
2013,6,Customer,3120
2013,6,Subscriber,882
2013,7,Customer,51548
2013,7,Subscriber,23313
2013,8,Customer,110096
2013,8,Subscriber,60397
2013,9,Customer,105325
2013,9,Subscriber,95689
2013,10,Customer,64200
2013,10,Subscriber,110484
2013,11,Customer,18065
2013,11,Subscriber,71939
2013,12,Customer,4381
2013,12,Subscriber,40281
2014,1,Customer,1060
2014,1,Subscriber,24012
2014,2,Customer,1203
2014,2,Subscriber,26881
2014,3,Customer,11830
2014,3,Subscriber,57473
2014,4,Customer,51246
2014,4,Subscriber,107218
2014,5,Customer,113434
2014,5,Subscriber,165283
2014,6,Customer,135192
2014,6,Subscriber,210764
2014,7,Customer,158539
2014,7,Subscriber,251752
2014,8,Customer,156371
2014,8,Subscriber,235701
2014,9,Customer,92734
2014,9,Subscriber,215745
2014,10,Customer,48977
2014,10,Subscriber,188315
2014,11,Customer,12601
2014,11,Subscriber,101266
2014,12,Customer,7994
2014,12,Subscriber,78781
2015,1,Customer,3316
2015,1,Dependent,5
2015,1,Subscriber,55949
2015,2,Customer,997
2015,2,Dependent,10
2015,2,Subscriber,34125
2015,3,Customer,20177
2015,3,Dependent,9
2015,3,Subscriber,87734
2015,4,Customer,42359
2015,4,Dependent,5
2015,4,Subscriber,133847
2015,5,Customer,106313
2015,5,Dependent,11
2015,5,Subscriber,195451
2015,6,Customer,152645
2015,6,Dependent,11
2015,6,Subscriber,263151
2015,7,Customer,218061
2015,7,Dependent,17
2015,7,Subscriber,315584
2015,8,Customer,166060
2015,8,Dependent,28
2015,8,Subscriber,328902
2015,9,Customer,127530
2015,9,Dependent,24
2015,9,Subscriber,299514
2015,10,Customer,59753
2015,10,Dependent,13
2015,10,Subscriber,256722
2015,11,Customer,25161
2015,11,Dependent,7
2015,11,Subscriber,168605
2015,12,Customer,7433
2015,12,Dependent,3
2015,12,Subscriber,113620
2016,1,Customer,3465
2016,1,Subscriber,89364
2016,2,Customer,11273
2016,2,Subscriber,106842
2016,3,Customer,27270
2016,3,Subscriber,158671
2016,4,Customer,49390
2016,4,Subscriber,182225
2016,5,Customer,103495
2016,5,Subscriber,259772
2016,6,Customer,127897
2016,6,Subscriber,349936
2016,7,Customer,173695
2016,7,Dependent,16
2016,7,Subscriber,344296
2016,8,Customer,135778
2016,8,Dependent,7
2016,8,Subscriber,348631
2016,9,Customer,116849
2016,9,Dependent,3
2016,9,Subscriber,322306
2016,10,Customer,72023
2016,10,Dependent,7
2016,10,Subscriber,278146
2016,11,Customer,33676
2016,11,Dependent,6
2016,11,Subscriber,206707
2016,12,Customer,3581
2016,12,Dependent,1
2016,12,Subscriber,89643
2017,1,Customer,5314
2017,1,Dependent,1
2017,1,Subscriber,106618
2017,2,Customer,23583
2017,2,Dependent,2
2017,2,Subscriber,142748
2017,3,Customer,12495
2017,3,Dependent,1
2017,3,Subscriber,140897
2017,4,Customer,61231
2017,4,Subscriber,207387
2017,5,Customer,82306
2017,5,Subscriber,263646
2017,6,Customer,132178
2017,6,Subscriber,372936
2017,7,Customer,179369
2017,7,Subscriber,385725
2017,8,Customer,146031
2017,8,Dependent,3
2017,8,Subscriber,411553
2017,9,Customer,116183
2017,9,Subscriber,369266
2017,10,Customer,58802
2017,10,Subscriber,295279
2017,11,Customer,12702
2017,11,Subscriber,177030
2017,12,Customer,6575
2017,12,Subscriber,118819
2018,1,Customer,3476
2018,1,Subscriber,106202
2018,2,Customer,3396
2018,2,Subscriber,99517
2018,3,Customer,15511
2018,3,Subscriber,158918
2018,4,Customer,21794
2018,4,Subscriber,178228
2018,5,Customer,89427
2018,5,Subscriber,311573
2018,6,Customer,107991
2018,6,Subscriber,350196
2018,7,Customer,150091
2018,7,Subscriber,394369
2018,8,Customer,128633
2018,8,Subscriber,401906
2018,9,Customer,93796
2018,9,Subscriber,344142
2018,10,Customer,43685
2018,10,Subscriber,301119
2018,11,Customer,10974
2018,11,Subscriber,157714
2018,12,Customer,7464
2018,12,Subscriber,121449
2019,1,Customer,4591
2019,1,Subscriber,98601
2019,2,Customer,2627
2019,2,Subscriber,93522
2019,3,Customer,15877
2019,3,Subscriber,149659
2019,4,Customer,47669
2019,4,Subscriber,217531
2019,5,Customer,81507
2019,5,Subscriber,285793
2019,6,Customer,130066
2019,6,Subscriber,345135
2019,7,Customer,175433
2019,7,Subscriber,381615
2019,8,Customer,186625
2019,8,Subscriber,403241
2019,9,Customer,128988
2019,9,Subscriber,364004
2019,10,Customer,70889
2019,10,Subscriber,300717
2019,11,Customer,18653
2019,11,Subscriber,158401
2019,12,Customer,16365
2019,12,Subscriber,138647
2020,1,Customer,7678
2020,1,Subscriber,134865
2020,2,Customer,12206
2020,2,Subscriber,125383
2020,3,Customer,24418
2020,3,Subscriber,114351
2020,4,Customer,23361
2020,4,Subscriber,60268
2020,5,Customer,86031
2020,5,Subscriber,111576
2020,6,Customer,152968
2020,6,Subscriber,185205
2020,7,Customer,266002
2020,7,Subscriber,276572
2020,8,Customer,283890
2020,8,Subscriber,324980
2020,9,Customer,226529
2020,9,Subscriber,295418
2020,10,Customer,141748
2020,10,Subscriber,237917
2020,11,Customer,86628
2020,11,Subscriber,168387
2020,12,Customer,29620
2020,12,Subscriber,99815
2021,1,Customer,17813
2021,1,Subscriber,77549
2021,2,Customer,9904
2021,2,Subscriber,38618
2021,3,Customer,82987
2021,3,Subscriber,142344
2021,4,Customer,134700
2021,4,Subscriber,197436
2021,5,Customer,252903
2021,5,Subscriber,269815
2021,6,Customer,364381
2021,6,Subscriber,352548
2021,7,Customer,435289
2021,7,Subscriber,373710
2021,8,Customer,407009
2021,8,Subscriber,385305
2021,9,Customer,358820
2021,9,Subscriber,385843
2021,10,Customer,253404
2021,10,Subscriber,367305
2021,11,Customer,105214
2021,11,Subscriber,248610
2021,12,Customer,68613
2021,12,Subscriber,174816
