trips_year,trips_month,DayOfWeekStartTimeNumber,DayOfWeekStartTimeAt,WeekNumber,usertype,trips_count
2013,6,4,Thursday,26,Customer,36
2013,6,4,Thursday,26,Subscriber,58
2013,6,5,Friday,26,Customer,500
2013,6,5,Friday,26,Subscriber,395
2013,6,6,Saturday,26,Customer,996
2013,6,6,Saturday,26,Subscriber,205
2013,6,7,Sunday,27,Customer,1588
2013,6,7,Sunday,27,Subscriber,224
2013,7,1,Monday,27,Customer,1022
2013,7,1,Monday,27,Subscriber,535
2013,7,1,Monday,28,Customer,602
2013,7,1,Monday,28,Subscriber,503
2013,7,1,Monday,29,Customer,1266
2013,7,1,Monday,29,Subscriber,762
2013,7,1,Monday,30,Customer,1705
2013,7,1,Monday,30,Subscriber,1028
2013,7,1,Monday,31,Customer,1730
2013,7,1,Monday,31,Subscriber,1378
2013,7,2,Tuesday,27,Customer,599
2013,7,2,Tuesday,27,Subscriber,509
2013,7,2,Tuesday,28,Customer,800
2013,7,2,Tuesday,28,Subscriber,702
2013,7,2,Tuesday,29,Customer,1202
2013,7,2,Tuesday,29,Subscriber,855
2013,7,2,Tuesday,30,Customer,1492
2013,7,2,Tuesday,30,Subscriber,1179
2013,7,2,Tuesday,31,Customer,1040
2013,7,2,Tuesday,31,Subscriber,1372
2013,7,3,Wednesday,27,Customer,479
2013,7,3,Wednesday,27,Subscriber,528
2013,7,3,Wednesday,28,Customer,1150
2013,7,3,Wednesday,28,Subscriber,751
2013,7,3,Wednesday,29,Customer,986
2013,7,3,Wednesday,29,Subscriber,838
2013,7,3,Wednesday,30,Customer,1472
2013,7,3,Wednesday,30,Subscriber,1191
2013,7,3,Wednesday,31,Customer,1021
2013,7,3,Wednesday,31,Subscriber,1273
2013,7,4,Thursday,27,Customer,2652
2013,7,4,Thursday,27,Subscriber,304
2013,7,4,Thursday,28,Customer,1523
2013,7,4,Thursday,28,Subscriber,785
2013,7,4,Thursday,29,Customer,949
2013,7,4,Thursday,29,Subscriber,779
2013,7,4,Thursday,30,Customer,1585
2013,7,4,Thursday,30,Subscriber,1224
2013,7,5,Friday,27,Customer,2071
2013,7,5,Friday,27,Subscriber,392
2013,7,5,Friday,28,Customer,1680
2013,7,5,Friday,28,Subscriber,872
2013,7,5,Friday,29,Customer,1207
2013,7,5,Friday,29,Subscriber,797
2013,7,5,Friday,30,Customer,1166
2013,7,5,Friday,30,Subscriber,991
2013,7,6,Saturday,27,Customer,2741
2013,7,6,Saturday,27,Subscriber,260
2013,7,6,Saturday,28,Customer,2890
2013,7,6,Saturday,28,Subscriber,454
2013,7,6,Saturday,29,Customer,3086
2013,7,6,Saturday,29,Subscriber,569
2013,7,6,Saturday,30,Customer,2682
2013,7,6,Saturday,30,Subscriber,652
2013,7,7,Sunday,28,Customer,2091
2013,7,7,Sunday,28,Subscriber,286
2013,7,7,Sunday,29,Customer,2841
2013,7,7,Sunday,29,Subscriber,468
2013,7,7,Sunday,30,Customer,3126
2013,7,7,Sunday,30,Subscriber,419
2013,7,7,Sunday,31,Customer,2692
2013,7,7,Sunday,31,Subscriber,657
2013,8,1,Monday,32,Customer,1926
2013,8,1,Monday,32,Subscriber,1455
2013,8,1,Monday,33,Customer,2241
2013,8,1,Monday,33,Subscriber,1742
2013,8,1,Monday,34,Customer,3272
2013,8,1,Monday,34,Subscriber,2437
2013,8,1,Monday,35,Customer,3283
2013,8,1,Monday,35,Subscriber,2604
2013,8,2,Tuesday,32,Customer,2190
2013,8,2,Tuesday,32,Subscriber,1723
2013,8,2,Tuesday,33,Customer,2522
2013,8,2,Tuesday,33,Subscriber,2202
2013,8,2,Tuesday,34,Customer,3233
2013,8,2,Tuesday,34,Subscriber,2688
2013,8,2,Tuesday,35,Customer,2514
2013,8,2,Tuesday,35,Subscriber,2595
2013,8,3,Wednesday,32,Customer,1664
2013,8,3,Wednesday,32,Subscriber,1600
2013,8,3,Wednesday,33,Customer,2474
2013,8,3,Wednesday,33,Subscriber,2252
2013,8,3,Wednesday,34,Customer,3034
2013,8,3,Wednesday,34,Subscriber,2687
2013,8,3,Wednesday,35,Customer,2491
2013,8,3,Wednesday,35,Subscriber,2844
2013,8,4,Thursday,31,Customer,1939
2013,8,4,Thursday,31,Subscriber,1629
2013,8,4,Thursday,32,Customer,2448
2013,8,4,Thursday,32,Subscriber,1948
2013,8,4,Thursday,33,Customer,2648
2013,8,4,Thursday,33,Subscriber,2163
2013,8,4,Thursday,34,Customer,1577
2013,8,4,Thursday,34,Subscriber,2278
2013,8,4,Thursday,35,Customer,2810
2013,8,4,Thursday,35,Subscriber,3016
2013,8,5,Friday,31,Customer,1891
2013,8,5,Friday,31,Subscriber,1503
2013,8,5,Friday,32,Customer,3089
2013,8,5,Friday,32,Subscriber,1885
2013,8,5,Friday,33,Customer,3775
2013,8,5,Friday,33,Subscriber,2357
2013,8,5,Friday,34,Customer,4264
2013,8,5,Friday,34,Subscriber,2807
2013,8,5,Friday,35,Customer,2798
2013,8,5,Friday,35,Subscriber,2393
2013,8,6,Saturday,31,Customer,4808
2013,8,6,Saturday,31,Subscriber,1151
2013,8,6,Saturday,32,Customer,5959
2013,8,6,Saturday,32,Subscriber,1188
2013,8,6,Saturday,33,Customer,6841
2013,8,6,Saturday,33,Subscriber,1458
2013,8,6,Saturday,34,Customer,7922
2013,8,6,Saturday,34,Subscriber,1887
2013,8,6,Saturday,35,Customer,3898
